time	V(pwm)	V(tri)
5.285026247557847e-003	1.313805e-001	2.090327e+000
5.285588597441535e-003	1.823743e-001	2.066732e+000
5.285853490257503e-003	2.180275e-001	2.055618e+000
5.286034622398599e-003	2.555382e-001	2.048019e+000
5.286169839640962e-003	3.073339e-001	2.042346e+000
5.286310948739592e-003	3.958590e-001	2.036425e+000
5.286365904346999e-003	4.422732e-001	2.034119e+000
5.286379643248850e-003	4.559850e-001	2.033543e+000
5.286407121052553e-003	4.852643e-001	2.032390e+000
5.286420993582529e-003	5.006176e-001	2.031808e+000
5.286432275359603e-003	5.135344e-001	2.031335e+000
5.286438253695015e-003	5.205103e-001	2.031084e+000
5.286441415332704e-003	5.242438e-001	2.030951e+000
5.286442913456116e-003	5.260235e-001	2.030889e+000
5.286443256939513e-003	5.264328e-001	2.030874e+000
5.286445005812446e-003	5.285220e-001	2.030801e+000
5.286446754685380e-003	5.306195e-001	2.030728e+000
5.286448503558312e-003	5.327251e-001	2.030654e+000
5.286450252431245e-003	5.348390e-001	2.030581e+000
5.286452001304178e-003	5.369611e-001	2.030507e+000
5.286453750177111e-003	5.390913e-001	2.030434e+000
5.286455499050044e-003	5.412298e-001	2.030360e+000
5.286459294750462e-003	5.458902e-001	2.030201e+000
5.286460119312157e-003	5.469074e-001	2.030167e+000
5.286461768435547e-003	5.489516e-001	2.030097e+000
5.286465066682327e-003	5.530518e-001	2.029959e+000
5.286465137933872e-003	5.531406e-001	2.029956e+000
5.286465280436961e-003	5.533185e-001	2.029950e+000
5.286465373547561e-003	5.534348e-001	2.029946e+000
5.286465396825211e-003	5.534639e-001	2.029945e+000
5.286465443380510e-003	5.535221e-001	2.029943e+000
5.286465455019335e-003	5.535366e-001	2.029943e+000
5.286465478296985e-003	5.535657e-001	2.029942e+000
5.286465484116398e-003	5.535730e-001	2.029942e+000
5.286465495755223e-003	5.535875e-001	2.029941e+000
5.286465510813578e-003	5.536063e-001	2.029941e+000
5.286465527619773e-003	5.536273e-001	2.029940e+000
5.286465559684571e-003	5.536674e-001	2.029938e+000
5.286465613829388e-003	5.537350e-001	2.029936e+000
5.286465722119021e-003	5.538704e-001	2.029932e+000
5.286465938698289e-003	5.541412e-001	2.029922e+000
5.286466371856823e-003	5.546833e-001	2.029904e+000
5.286467238173893e-003	5.557694e-001	2.029868e+000
5.286468970808030e-003	5.579486e-001	2.029795e+000
5.286472436076306e-003	5.623360e-001	2.029650e+000
5.286479366612857e-003	5.712252e-001	2.029359e+000
5.286493227685958e-003	5.894613e-001	2.028778e+000
5.286520949832162e-003	6.277531e-001	2.027615e+000
5.286576394124569e-003	7.115541e-001	2.025288e+000
5.286687282709385e-003	9.086391e-001	2.020636e+000
5.286909059879014e-003	1.421732e+000	2.011332e+000
5.287352614218275e-003	2.696421e+000	1.992723e+000
5.287557461424121e-003	3.336948e+000	1.984128e+000
5.287717093168856e-003	3.797267e+000	1.977431e+000
5.287933497463345e-003	4.281970e+000	1.968353e+000
5.288115472241445e-003	4.539700e+000	1.960718e+000
5.288315310149993e-003	4.678306e+000	1.952335e+000
5.288392805702479e-003	4.701140e+000	1.949083e+000
5.288492296115909e-003	4.713420e+000	1.944910e+000
5.288611371898482e-003	4.723848e+000	1.939914e+000
5.288811122844741e-003	4.737154e+000	1.931534e+000
5.289103398659493e-003	4.752580e+000	1.919273e+000
5.289525207967978e-003	4.769166e+000	1.901578e+000
5.290368826584947e-003	4.791986e+000	1.866189e+000
5.291236691609210e-003	4.806989e+000	1.829783e+000
5.292416333507554e-003	4.818927e+000	1.780301e+000
5.293725384073304e-003	4.826662e+000	1.725394e+000
5.295637335030002e-003	4.833193e+000	1.645204e+000
5.297822190704982e-003	4.837960e+000	1.553576e+000
5.301301247616659e-003	4.843532e+000	1.407690e+000
5.305631178911127e-003	4.849524e+000	1.226172e+000
5.312698792947990e-003	4.858606e+000	9.300089e-001
5.315806580167834e-003	4.862422e+000	7.998799e-001
5.317926025888921e-003	4.864933e+000	7.112450e-001
5.319309571458630e-003	4.866540e+000	6.534829e-001
5.320392642146794e-003	4.867783e+000	6.083657e-001
5.321181531604826e-003	4.868671e+000	5.755768e-001
5.321319760267625e-003	4.868829e+000	5.698450e-001
5.321596217593223e-003	4.869146e+000	5.584124e-001
5.322149132244419e-003	4.869767e+000	5.356199e-001
5.322477525814836e-003	4.870134e+000	5.221348e-001
5.322520504540039e-003	4.870182e+000	5.203776e-001
5.322606461990445e-003	4.870278e+000	5.168760e-001
5.322740216986665e-003	4.870427e+000	5.114413e-001
5.322760636779272e-003	4.870450e+000	5.106137e-001
5.322801476364486e-003	4.870495e+000	5.089623e-001
5.322883155534914e-003	4.870585e+000	5.056669e-001
5.322894331925788e-003	4.870598e+000	5.052165e-001
5.322916684707537e-003	4.870623e+000	5.043125e-001
5.322949605334672e-003	4.870659e+000	5.029549e-001
5.322982160685282e-003	4.870695e+000	5.015492e-001
5.323014444665330e-003	4.870731e+000	5.000554e-001
5.323049168676320e-003	4.870770e+000	4.983539e-001
5.323085316401706e-003	4.870810e+000	4.966414e-001
5.323129487427901e-003	4.870859e+000	4.949296e-001
5.323182841534432e-003	4.870918e+000	4.934763e-001
5.323235274125023e-003	4.870976e+000	4.926772e-001
5.323330734544033e-003	4.871081e+000	4.930439e-001
5.323521655382053e-003	4.871292e+000	4.971841e-001
5.323527093507290e-003	4.871298e+000	4.973621e-001
5.323537969757765e-003	4.871310e+000	4.977870e-001
5.323559722258714e-003	4.871334e+000	4.986900e-001
5.323578163275437e-003	4.871355e+000	4.995537e-001
5.323591256214506e-003	4.871369e+000	5.002605e-001
5.323604511118292e-003	4.871384e+000	5.010398e-001
5.323619321249674e-003	4.871400e+000	5.019093e-001
5.323626391225414e-003	4.871408e+000	5.022894e-001
5.323636079158809e-003	4.871418e+000	5.027508e-001
5.323644974374173e-003	4.871428e+000	5.031348e-001
5.323657060615676e-003	4.871441e+000	5.036247e-001
5.323669960529169e-003	4.871456e+000	5.041450e-001
5.323688513627502e-003	4.871476e+000	5.049132e-001
5.323708484659022e-003	4.871498e+000	5.057579e-001
5.323743048954809e-003	4.871536e+000	5.072212e-001
5.323776065672164e-003	4.871572e+000	5.086095e-001
5.325307520406818e-003	4.873241e+000	5.730000e-001
5.326838975141471e-003	4.874880e+000	6.373862e-001
5.328370429876125e-003	4.876488e+000	7.017682e-001
5.329901884610778e-003	4.878067e+000	7.661459e-001
5.331433339345431e-003	4.879615e+000	8.305195e-001
5.332964794080085e-003	4.881133e+000	8.948888e-001
5.334496248814738e-003	4.882622e+000	9.592538e-001
5.344261873814738e-003	4.891085e+000	1.369630e+000
5.350295709815130e-003	4.894834e+000	1.623138e+000
5.350753473487005e-003	4.894564e+000	1.642365e+000
5.351363825049505e-003	4.893644e+000	1.668003e+000
5.352584528174505e-003	4.889500e+000	1.719275e+000
5.354021228553662e-003	4.878236e+000	1.779618e+000
5.355180149625138e-003	4.857745e+000	1.828291e+000
5.356075653385502e-003	4.824269e+000	1.865900e+000
5.356807659988236e-003	4.771422e+000	1.896641e+000
5.357391812796174e-003	4.694953e+000	1.921172e+000
5.357939984189118e-003	4.580959e+000	1.944192e+000
5.358255216546951e-003	4.492854e+000	1.957430e+000
5.358265067558133e-003	4.489553e+000	1.957843e+000
5.358284769580497e-003	4.482418e+000	1.958671e+000
5.358324173625226e-003	4.466769e+000	1.960325e+000
5.358402981714684e-003	4.424580e+000	1.963635e+000
5.358541690076958e-003	4.326249e+000	1.969460e+000
5.358562595019237e-003	4.307462e+000	1.970337e+000
5.358604404903796e-003	4.264087e+000	1.972093e+000
5.358614857374935e-003	4.252647e+000	1.972532e+000
5.358635762317214e-003	4.228727e+000	1.973410e+000
5.358640988552784e-003	4.222589e+000	1.973629e+000
5.358651441023924e-003	4.210037e+000	1.974068e+000
5.358655879387831e-003	4.204648e+000	1.974255e+000
5.358657528042705e-003	4.202628e+000	1.974324e+000
5.358657533016373e-003	4.202622e+000	1.974324e+000
5.358657542963710e-003	4.202610e+000	1.974324e+000
5.358657562858383e-003	4.202585e+000	1.974325e+000
5.358657602647729e-003	4.202537e+000	1.974327e+000
5.358657682226421e-003	4.202438e+000	1.974330e+000
5.358657724955316e-003	4.202386e+000	1.974332e+000
5.358657759195019e-003	4.202344e+000	1.974334e+000
5.358657797057740e-003	4.202297e+000	1.974335e+000
5.358657831590761e-003	4.202255e+000	1.974337e+000
5.358657887768875e-003	4.202186e+000	1.974339e+000
5.358657965086652e-003	4.202090e+000	1.974342e+000
5.358658060827455e-003	4.201972e+000	1.974346e+000
5.358658241854006e-003	4.201749e+000	1.974354e+000
5.358658512808985e-003	4.201416e+000	1.974365e+000
5.358658998492237e-003	4.200816e+000	1.974386e+000
5.358659752226633e-003	4.199885e+000	1.974417e+000
5.358661138204552e-003	4.198168e+000	1.974475e+000
5.358663246832247e-003	4.195545e+000	1.974564e+000
5.358667464087637e-003	4.190253e+000	1.974741e+000
5.358675898598416e-003	4.179574e+000	1.975095e+000
5.358678007226112e-003	4.176880e+000	1.975184e+000
5.358679518065698e-003	4.174938e+000	1.975247e+000
5.358680373071295e-003	4.173836e+000	1.975283e+000
5.358680878135376e-003	4.173185e+000	1.975304e+000
5.358681189910253e-003	4.172782e+000	1.975317e+000
5.358681467790616e-003	4.172423e+000	1.975329e+000
5.358681806691109e-003	4.171985e+000	1.975343e+000
5.358682484492097e-003	4.171107e+000	1.975372e+000
5.358683165050671e-003	4.170224e+000	1.975400e+000
5.358684036100970e-003	4.169093e+000	1.975437e+000
5.358685026273776e-003	4.167804e+000	1.975479e+000
5.358686520349871e-003	4.165854e+000	1.975541e+000
5.358688723157008e-003	4.162968e+000	1.975634e+000
5.358692507300464e-003	4.157972e+000	1.975793e+000
5.358699390428247e-003	4.148767e+000	1.976082e+000
5.358713156683813e-003	4.129885e+000	1.976660e+000
5.358740689194945e-003	4.090261e+000	1.977816e+000
5.358795754217209e-003	4.003805e+000	1.980128e+000
5.358900376467788e-003	3.813190e+000	1.984522e+000
5.359107142861985e-003	3.339538e+000	1.993204e+000
5.359513738572037e-003	2.191750e+000	2.010278e+000
5.359751563040753e-003	1.424049e+000	2.020264e+000
5.359811019157932e-003	1.229053e+000	2.022760e+000
5.359929931392290e-003	8.757989e-001	2.027754e+000
5.360046028262372e-003	5.961320e-001	2.032629e+000
